	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_64140	prmA	protein methylation	50S ribosomal protein L11 methyltransferase	match to InterPro signature evidence used in automatic assertion	protein methylation; cytoplasm; protein methyltransferase activity
PA14_64170	PA14_64170				
PA14_64180	yhdG	tRNA-dihydrouridine synthase B (EC 1.3.1.-)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	tRNA processing; oxidoreductase activity; flavin adenine dinucleotide binding; oxidation-reduction process; tRNA dihydrouridine synthase activity; catalytic activity
PA14_64190	fis	DNA-binding protein Fis	DNA-binding protein Fis	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding; DNA binding; regulation of transcription, DNA-templated
PA14_64200	purH	IMP cyclohydrolase activity	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	match to InterPro signature evidence used in automatic assertion	IMP cyclohydrolase activity; phosphoribosylaminoimidazolecarboxamide formyltransferase activity; purine nucleotide biosynthetic process; catalytic activity
PA14_64220	purD	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	phosphoribosylamine--glycine ligase	match to InterPro signature evidence used in automatic assertion	phosphoribosylamine-glycine ligase activity; purine nucleobase biosynthetic process; catalytic activity; ATP binding; metal ion binding
PA14_64230	retS	RetS (Regulator of Exopolysaccharide and Type III Secretion)	RetS (regulator of exopolysaccharide and Type III secretion)	match to InterPro signature evidence used in automatic assertion	signal transduction; phosphorelay sensor kinase activity; membrane; phosphorelay signal transduction system; signal transducer activity; phosphorylation; transferase activity, transferring phosphorus-containing groups
PA14_64240	PA14_64240	UPF0056 inner membrane protein	MarC family protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane
PA14_64270	PA14_64270	Putative branched-chain amino acid ABC transporter, periplasmic component	hypothetical protein	match to InterPro signature evidence used in automatic assertion	amino acid transport; outer membrane-bounded periplasmic space
PA14_64280	PA14_64280	Putative branched-chain amino acid ABC transporter, permease protein	branched-chain amino acid ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; binding
PA14_64290	PA14_64290	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_64300	PA14_64300	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_64310	PA14_64310	Putative ABC transport ATP-binding subunit	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_64320	PA14_64320	Putative acetyltransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_64335	ureD	nitrogen compound metabolic process	urease accessory protein	match to InterPro signature evidence used in automatic assertion	nitrogen compound metabolic process; nickel cation binding
PA14_64350	ureA	urease activity	urease subunit gamma	match to InterPro signature evidence used in automatic assertion	urease activity; urea metabolic process; nickel cation binding; urea catabolic process
PA14_64360	yncA	Putative phosphinothricin N-acetyltransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_64370	PA14_64370				
PA14_64390	ureC	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	urease subunit alpha	match to InterPro signature evidence used in automatic assertion	nitrogen compound metabolic process; urease activity; nickel cation binding; hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
PA14_64410	ybiI	Putative Zinc-finger containing protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	zinc ion binding
PA14_64440	PA14_64440	catalytic activity	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; oxaloacetate decarboxylase activity
PA14_64470	PA14_64470	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding
PA14_64480	osmE	Osmotically inducible lipoprotein OsmE	DNA-binding transcriptional activator OsmE	match to InterPro signature evidence used in automatic assertion	outer membrane
PA14_64490	PA14_64490	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	DNA-templated transcription, termination
PA14_64500	PA14_64500	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of transcription, DNA-templated
PA14_64520	PA14_64520	Putative bacterioferritin	bacterioferritin	match to InterPro signature evidence used in automatic assertion	cellular iron ion homeostasis; ferric iron binding; iron ion transport
PA14_64540	PA14_64540	Putative oxidoreductase, molybdopterin-binding	hypothetical protein	match to InterPro signature evidence used in automatic assertion	electron carrier activity; oxidation-reduction process
PA14_64550	PA14_64550	Putative thiosulfate reductase cytochrome B subunit	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane; respiratory electron transport chain; iron ion binding; transport; electron carrier activity
PA14_64570	irlR	Two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; DNA binding; regulation of transcription, DNA-templated
PA14_64580	PA14_64580	Putative two-component sensor	two-component sensor	match to InterPro signature evidence used in automatic assertion	phosphorelay sensor kinase activity; signal transduction; membrane; signal transducer activity; integral component of membrane; phosphorylation; phosphorelay signal transduction system; protein histidine kinase activity; transferase activity, transferring phosphorus-containing groups
PA14_64590	PA14_64590	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transporter activity; transmembrane transport
PA14_64610	PA14_64610	Putative fatty acid desaturase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	lipid metabolic process
PA14_64620	PA14_64620	Putative oxidoreductase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; 2 iron, 2 sulfur cluster binding; electron carrier activity; iron-sulfur cluster binding
PA14_64640	PA14_64640	Putative transcriptional regulator, TetR family	TetR family transcriptional regulator	sequence similarity evidence used in automatic assertion	negative regulation of fatty acid metabolic process; DNA binding
PA14_64650	ureE	protein complex assembly	urease accessory protein UreE	match to InterPro signature evidence used in automatic assertion	protein complex assembly; nickel cation binding; urea metabolic process; cytoplasm; protein folding; enzyme active site formation
PA14_64660	ureF	nitrogen compound metabolic process	urease accessory protein UreF	match to InterPro signature evidence used in automatic assertion	nitrogen compound metabolic process; nickel cation binding
PA14_64670	ureG	GTPase activity	urease accessory protein UreG	match to InterPro signature evidence used in automatic assertion	GTPase activity; nitrogen compound metabolic process; nickel cation binding
PA14_64700	PA14_64700	Putative sigma-70 factor, ECF subfamily	RNA polymerase sigma factor	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_64710	PA14_64710	Putative extracellular heme-binding protein	extracellular heme-binding protein	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane; outer membrane
PA14_64720	opdK	Putative outer membrane porin	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_64740	pchA	Putative aldehyde dehydrogenase	aldehyde dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidation-reduction process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
PA14_64750	benK	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport; integral component of membrane
PA14_64770	mdlC	Benzoylformate decarboxylase	benzoylformate decarboxylase	match to InterPro signature evidence used in automatic assertion	catalytic activity; thiamine pyrophosphate binding; magnesium ion binding
PA14_64780	PA14_64780	Putative LysR-type transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_64790	vanK	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport; integral component of membrane
